,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
143,MobileNetV3,ImageNet,1,128,1,0.825,VGG,CIFAR-10,1,128,1,1.11,53.507,28.84,5964
144,PointNet,ShapeNet,1,32,0,0.989,DCGAN,LSUN,1,32,0,1.11,75.26,33.026,6448
145,PointNet,ShapeNet,1,32,0,1.005,DCGAN,LSUN,1,32,1,1.17,48.145,22.211,6720
146,PointNet,ShapeNet,1,32,1,0.932,DCGAN,LSUN,1,32,0,1.222,73.013,30.763,5814
147,PointNet,ShapeNet,1,32,1,0.986,DCGAN,LSUN,1,32,1,1.189,44.219,19.507,6086
148,PointNet,ShapeNet,1,32,0,1.035,DCGAN,LSUN,1,64,0,1.034,93.253,42.56,6534
149,PointNet,ShapeNet,1,32,0,0.957,DCGAN,LSUN,1,64,1,1.112,60.587,26.987,6320
150,PointNet,ShapeNet,1,32,1,0.964,DCGAN,LSUN,1,64,0,1.014,94.026,40.145,5900
151,PointNet,ShapeNet,1,32,1,0.993,DCGAN,LSUN,1,64,1,1.116,58.039,24.829,5780
152,PointNet,ShapeNet,1,32,0,0.996,DCGAN,LSUN,1,128,0,0.888,95.416,43.065,7088
153,PointNet,ShapeNet,1,32,0,0.929,DCGAN,LSUN,1,128,1,0.977,68.878,34.257,6680
154,PointNet,ShapeNet,1,32,1,0.942,DCGAN,LSUN,1,128,0,0.924,94.373,40.187,6434
155,PointNet,ShapeNet,1,32,1,0.971,DCGAN,LSUN,1,128,1,0.996,66.147,33.2,6046
156,PointNet,ShapeNet,1,64,0,0.989,DCGAN,LSUN,1,32,0,1.042,67.873,29.873,8826
157,PointNet,ShapeNet,1,64,0,0.977,DCGAN,LSUN,1,32,1,1.12,45.458,21.278,9098
158,PointNet,ShapeNet,1,64,1,0.982,DCGAN,LSUN,1,32,0,1.1,65.186,28.114,7012
159,PointNet,ShapeNet,1,64,1,0.985,DCGAN,LSUN,1,32,1,1.157,44.554,18.919,7284
160,PointNet,ShapeNet,1,64,0,0.982,DCGAN,LSUN,1,64,0,1.047,90.366,41.0,9694
161,PointNet,ShapeNet,1,64,0,0.976,DCGAN,LSUN,1,64,1,1.087,58.493,26.155,8698
162,PointNet,ShapeNet,1,64,1,0.963,DCGAN,LSUN,1,64,0,1.081,88.789,37.732,7098
163,PointNet,ShapeNet,1,64,1,0.977,DCGAN,LSUN,1,64,1,1.13,55.718,23.958,6884
164,PointNet,ShapeNet,1,64,0,1.005,DCGAN,LSUN,1,128,0,0.874,92.426,40.868,9464
165,PointNet,ShapeNet,1,64,0,0.984,DCGAN,LSUN,1,128,1,0.929,66.536,33.623,9058
166,PointNet,ShapeNet,1,64,1,0.957,DCGAN,LSUN,1,128,0,0.919,91.901,38.577,7650
167,PointNet,ShapeNet,1,64,1,0.956,DCGAN,LSUN,1,128,1,0.968,62.543,31.886,7244
168,PointNet,ShapeNet,1,128,0,0.947,DCGAN,LSUN,1,32,0,1.057,62.016,27.18,12954
169,PointNet,ShapeNet,1,128,0,0.926,DCGAN,LSUN,1,32,1,1.229,46.839,21.268,13226
170,PointNet,ShapeNet,1,128,1,0.946,DCGAN,LSUN,1,32,0,1.127,60.136,26.525,9456
