job_id,priority
767583,-1919
767584,14081
767585,899
767586,-2217
767587,2156
767589,304
767590,-3314
767591,144982
767592,6192
767593,-121
767595,813
767596,304
767597,7888
767598,2912
767600,2186
767601,8161
767602,6309
767603,4937
767604,44746
767605,49379
767606,4046
767607,2406
767608,-2523
767610,-3297
767611,5656
767612,4979
767613,6256
767614,-2764
767616,584
767618,7001
767617,3378
767619,1219
767620,-2433
767621,7521
767622,9588
767623,15490
767624,-3109
767626,5916
767627,-11325
767628,24095
767629,6914
767630,7268
767631,6391
767632,3894
767633,181146
767634,4648
767635,5663
767636,3894
767637,47397
767638,9825
767639,6178
767640,3439
767641,5225
767642,3894
767643,1925
767644,3891
767645,4408
767646,3575
767647,5225
767648,8680
767649,5791
767650,3989
767651,1115
767652,9074
767653,9074
767654,7714
767655,5709
767656,1166
767657,4554
767658,3939
767659,35578
767660,5054
767662,8877
767663,5055
767664,3746
767665,5856
767666,3894
767667,10857
767668,-2208
767669,7561
767670,5856
767672,8402
767673,3309
767674,6159
767675,1405
767676,1087
767677,568
767678,-4249
767679,126850
767680,-560
767681,7922
767683,2298
767684,157283
767685,8145
767686,1843
767687,5318
767688,4094
767689,307072
767690,2299
767691,376
767692,3152
767693,178494
767694,9325
767695,-2244
767696,547
767697,4073
767698,-1277
767699,-1313
767700,-1585
767701,-2706
767702,-335
767703,1565
767704,-1557
767705,-4625
767706,4073
767710,96517
767711,2334
767712,2298
767713,4406
767714,6893
767715,179822
767716,995
767717,4324
767718,2334
767719,3753
767720,1144
767721,1843
767723,6566
767725,-1391
767728,7620
767729,1323
767730,995
767731,-4240
767732,2451
767735,4072
767736,-1377
767737,-3120
767738,2569
767739,5111
767740,4355
767741,2860
767742,2836
767744,6430
767745,-1391
767746,2165
767747,2324
767748,2870
767749,1208
767750,2326
767751,357
767752,-3028
767753,-68
767758,1381
767759,2514
767760,2804
767761,2841
767762,22863
767763,43457
767765,-2071
767766,52
767767,-365
767768,1955
767769,-375
767770,-2460
767771,5515
767772,-2444
767778,139194
767779,1671
767782,5495
767783,1384
767784,4429
767785,-1724
767786,175776
767788,27660
767789,4347
767790,-230
767791,1217
767792,1217
767793,3241
767794,5585
767795,2519
767796,3794
767797,2504
767798,4347
767799,7161
767800,-2444
767801,10001
767802,2241
767803,-579
767804,-1377
767805,-1582
767806,2364
767808,1217
767809,-888
767810,2051
767811,1943
767812,-1098
767813,4315
767814,2975
767815,283
767816,-1963
767817,-1406
767819,1985
767820,1671
767822,1626
767823,-650
767824,-235
767825,2786
767827,4347
767828,2039
767829,1219
767830,4347
767831,2558
767832,-3942
767833,-645
767834,292
767835,-1568
767836,-1406
767837,-51
767838,-647
767839,3605
767840,3489
767841,3546
767842,4565
767843,5585
767844,2975
767845,156453
767846,2974
767847,4915
767848,-1963
767849,340
767850,-1939
767851,-252
767852,-955
767853,2051
767854,-2768
767855,-1243
767856,3127
767857,3191
767858,3668
767859,6795
767860,3536
767863,1244
767864,2504
767867,2631
767868,7668
767870,3132
767871,6723
767872,4429
767873,3536
767874,3605
767875,11182
767876,8822
767877,3794
767878,2582
767879,3794
767880,2631
767881,3347
767882,4347
767883,141814
767884,3347
767885,2631
767887,1244
767888,4380
767889,3854
767890,5171
767891,5847
767893,6085
767898,6095
767899,1732
767900,-421
767901,874
767902,17433
767903,2433
767905,528
767906,-2174
767907,2071
767909,831
767910,3222
767911,4722
767912,-445
767913,-4330
767914,69
767915,1476
767917,2071
767920,-8753
767921,1160
767922,2480
767923,6660
767924,2433
767926,1506
767927,1937
767928,1918
767930,2738
767931,2730
767932,2922
767933,1919
767934,1822
767935,5294
767936,2071
767937,-7186
767938,3560
767939,874
767940,-6855
767941,1067
767942,2730
767943,3502
767944,4170
767945,924
767946,-180
767947,-1993
767948,3509
767949,1485
767950,171020
767951,1785
767952,2135
767953,3222
767954,-2502
767955,1516
767956,-915
767957,4351
767958,2004
767959,1021
767960,716
767961,1473
767962,1021
767963,-810
767964,3562
767966,763
767967,-528
767968,-526
767969,202
767970,4351
767971,-810
767972,5037
767973,204032
767974,-158
767975,3264
767976,-3307
767977,-3863
767978,413
767979,19515
767980,19515
767981,2929
767983,3553
767984,32751
767985,167882
767986,-2245
767987,20627
767989,4502
767990,204032
767992,30302
767993,20627
767994,1291
767995,2369
767996,6867
767998,5661
767999,3083
768000,138643
768001,2959
768002,4364
768003,3609
768004,-882
768005,7874
768006,3083
768007,3116
768008,17239
768009,-528
768010,-815
768011,2919
768012,-528
768013,2914
768014,3428
768015,-621
768016,3264
768017,1291
768018,-808
768019,680
768020,3713
768021,5198
768022,2304
768023,144570
768024,4351
768025,170461
768026,3609
768027,3200
768028,3618
768029,-1833
768030,2381
768032,3083
768033,3484
768034,-1089
768035,2455
768036,-1509
768037,3264
768038,1344
768039,135411
768040,5037
768041,-3011
768042,136554
768044,2120
768046,9538
768047,2061
768048,2308
768049,141459
768050,123174
768051,-1375
768052,-2707
768055,600
768056,4009
768057,1904
768058,2340
768060,2220
768061,4707
768062,1980
768063,600
768064,1835
768065,2035
768067,18756
768068,1904
768070,1235
768071,8034
768072,148836
768073,3358
768074,640
768076,2534
768077,3358
768078,1197
768079,2723
768080,1275
768082,1137
768083,600
768084,2035
768085,2074
768086,1235
768087,1275
768088,2534
768089,2074
768090,145938
768091,1903
768092,-5006
768093,163400
768094,8034
768095,-1014
768097,1903
768099,2465
768100,3235
768101,2056
768104,4707
768103,-1236
768105,4824
768108,2475
768110,6690
768112,1939
768114,2607
768116,7002
768117,3692
768118,3996
768119,671
768121,2716
768122,2987
768123,-1081
768124,2408
768125,-2304
768126,3288
768127,-358
768128,5780
768129,6450
768130,3886
768131,3955
768132,6323
768133,-820
768136,3706
768137,-1081
768138,1832
768139,3767
768141,6540
768142,2408
768143,21034
768144,9461
768145,4458
768146,-6055
768148,3002
768149,3002
768150,2276
768151,-5853
768152,3136
768153,20842
768154,28450
768155,3113
768156,3002
768157,2111
768158,20612
768159,3697
768161,4458
768164,6078
768165,3135
768166,6550
768167,6183
768168,6805
768169,1832
768170,333747
768171,4533
768172,2680
768173,5069
768174,130375
768175,1832
768176,5069
768177,3288
768179,3351
768180,6530
768181,3002
768182,7768
